tag_ident, average_duration, average_start_time, average_end_time, owl_type
1750,7:55:08,19:13:08,3:08:16,urban
1751,8:15:45,19:13:58,3:29:43,urban
1753,8:19:52,19:02:44,3:22:37,urban
1754,8:29:58,19:00:33,3:30:32,urban
1292,7:25:11,19:01:56,2:27:07,rural
3893,9:08:09,19:01:31,4:09:40,urban
3892,8:54:18,19:01:29,3:55:47,urban
3894,8:36:58,19:01:27,3:38:25,rural
3895,8:39:30,19:01:44,3:41:14,rural
3896,9:18:51,19:00:45,4:19:37,rural
3897,8:45:55,19:02:54,3:48:50,rural
3899,8:41:56,19:02:03,3:44:00,urban
3898,8:55:14,19:02:02,3:57:16,rural
4043,7:58:40,19:12:41,3:11:22,urban
4044,8:54:55,19:02:17,3:57:12,urban
4045,7:08:22,19:02:04,2:10:26,urban
4046,8:29:20,19:02:26,3:31:46,urban
5158,8:00:14,19:02:29,3:02:43,urban
5159,8:28:44,19:02:03,3:30:47,urban
4846,8:54:11,19:02:19,3:56:31,rural
4848,10:16:17,19:00:20,5:16:38,urban
